date,plant_id,field_name,height_cm,growth_delta,temp_pf,humidity,co2,illuminance,solar_radiation,vapor_pressure_deficit,dew_point,solar_radiation_cumsum,growth_tomorrow,weekday,weeknum
2024-12-03,1,３号棟,61.0,48.0,13.073541666666667,78.17131944444444,462.6756944444445,7.167881944444445,423279,3.1278472222222224,8.988229166666667,8.38236,-51.0,1,49
2024-12-03,2,３号棟,63.0,50.0,13.073541666666667,78.17131944444444,462.6756944444445,7.167881944444445,423279,3.1278472222222224,8.988229166666667,8.38236,-53.0,1,49
2024-12-03,3,３号棟,61.0,49.0,13.073541666666667,78.17131944444444,462.6756944444445,7.167881944444445,423279,3.1278472222222224,8.988229166666667,8.38236,-51.0,1,49
2024-12-05,1,３号棟,10.0,-51.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,38.0,3,49
2024-12-05,2,３号棟,10.0,-53.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,37.0,3,49
2024-12-05,3,３号棟,10.0,-51.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,40.0,3,49
2024-12-12,1,３号棟,10.0,-5.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,41.0,3,50
2024-12-12,2,３号棟,10.0,-4.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,44.0,3,50
2024-12-12,3,３号棟,10.0,-3.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,42.0,3,50
2024-12-19,1,３号棟,13.0,-4.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,46.0,3,51
2024-12-19,2,３号棟,14.0,-3.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,44.0,3,51
2024-12-19,3,３号棟,14.0,-1.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,44.0,3,51
2024-12-26,1,３号棟,15.0,-6.0,11.02690972222222,84.24126736111111,443.6532986111111,4.113194444444445,246663,1.7876041666666669,8.264010416666666,4.91814,-6.0,3,52
2024-12-26,2,３号棟,17.0,-4.0,11.02690972222222,84.24126736111111,443.6532986111111,4.113194444444445,246663,1.7876041666666669,8.264010416666666,4.91814,-9.0,3,52
2024-12-26,3,３号棟,15.0,-1.0,11.02690972222222,84.24126736111111,443.6532986111111,4.113194444444445,246663,1.7876041666666669,8.264010416666666,4.91814,-7.0,3,52
2025-01-02,1,３号棟,17.0,-6.0,10.267743055555554,83.1711111111111,439.19184027777777,4.357118055555556,261351,1.8461979166666669,7.285243055555555,4.98024,-7.0,3,1
2025-01-02,2,３号棟,18.0,-7.0,10.267743055555554,83.1711111111111,439.19184027777777,4.357118055555556,261351,1.8461979166666669,7.285243055555555,4.98024,-9.0,3,1
2025-01-02,3,３号棟,16.0,-6.0,10.267743055555554,83.1711111111111,439.19184027777777,4.357118055555556,261351,1.8461979166666669,7.285243055555555,4.98024,-8.0,3,1
2025-01-09,1,３号棟,18.0,-8.0,7.432708333333333,79.09253472222223,419.48576388888887,4.7809027777777775,285279,1.8681423611111112,3.775121527777778,6.97152,-7.0,3,2
2025-01-09,2,３号棟,19.0,-9.0,7.432708333333333,79.09253472222223,419.48576388888887,4.7809027777777775,285279,1.8681423611111112,3.775121527777778,6.97152,-10.0,3,2
2025-01-09,3,３号棟,17.0,-9.0,7.432708333333333,79.09253472222223,419.48576388888887,4.7809027777777775,285279,1.8681423611111112,3.775121527777778,6.97152,-9.0,3,2
2025-01-16,1,３号棟,21.0,-13.0,8.237135416666668,85.53993055555556,423.9536458333333,5.094097222222223,303488,1.3959027777777775,5.786770833333334,6.07464,-7.0,3,3
2025-01-16,2,３号棟,22.0,-15.0,8.237135416666668,85.53993055555556,423.9536458333333,5.094097222222223,303488,1.3959027777777775,5.786770833333334,6.07464,-12.0,3,3
2025-01-16,3,３号棟,18.0,-11.0,8.237135416666668,85.53993055555556,423.9536458333333,5.094097222222223,303488,1.3959027777777775,5.786770833333334,6.07464,-7.0,3,3
2025-01-23,1,３号棟,26.0,17.0,10.328864188954498,79.34472038902398,446.3320597429663,6.289510246613408,373149,2.5580757207363667,6.462643278916291,8.53332,-10.0,3,4
2025-01-23,2,３号棟,27.0,18.0,10.328864188954498,79.34472038902398,446.3320597429663,6.289510246613408,373149,2.5580757207363667,6.462643278916291,8.53332,-16.0,3,4
2025-01-23,3,３号棟,21.0,12.0,10.328864188954498,79.34472038902398,446.3320597429663,6.289510246613408,373149,2.5580757207363667,6.462643278916291,8.53332,-9.0,3,4
2025-01-30,1,３号棟,28.0,-17.0,7.058971686642349,86.63102310231022,417.3602570783394,2.6529442417926004,162443,1.0682126107347576,4.951641479937467,2.7504,-11.0,3,5
2025-01-30,2,３号棟,29.0,-16.0,7.058971686642349,86.63102310231022,417.3602570783394,2.6529442417926004,162443,1.0682126107347576,4.951641479937467,2.7504,-16.0,3,5
2025-01-30,3,３号棟,23.0,-17.0,7.058971686642349,86.63102310231022,417.3602570783394,2.6529442417926004,162443,1.0682126107347576,4.951641479937467,2.7504,-10.0,3,5
2024-09-09,1,６号棟,8.0,-55.0,28.37140625,79.47387152777777,455.165625,12.527083333333334,735053,6.976354166666667,24.03314236111111,19.90644,14.0,0,37
2024-09-09,2,６号棟,8.0,-52.0,28.37140625,79.47387152777777,455.165625,12.527083333333334,735053,6.976354166666667,24.03314236111111,19.90644,13.0,0,37
2024-09-09,3,６号棟,8.0,-51.0,28.37140625,79.47387152777777,455.165625,12.527083333333334,735053,6.976354166666667,24.03314236111111,19.90644,16.0,0,37
2024-09-16,1,６号棟,18.0,-28.0,29.792829861111112,80.79567708333333,459.8046875,11.588888888888889,680951,6.949322916666667,25.760069444444444,18.54246,13.0,0,38
2024-09-16,2,６号棟,18.0,-29.0,29.792829861111112,80.79567708333333,459.8046875,11.588888888888889,680951,6.949322916666667,25.760069444444444,18.54246,16.0,0,38
2024-09-16,3,６号棟,18.0,-28.0,29.792829861111112,80.79567708333333,459.8046875,11.588888888888889,680951,6.949322916666667,25.760069444444444,18.54246,17.0,0,38
2024-09-23,1,６号棟,26.0,17.0,24.088784722222226,69.17826388888889,419.5234375,9.574826388888887,564618,7.017395833333333,17.940086805555556,12.17982,15.0,0,39
2024-09-23,2,６号棟,26.0,16.0,24.088784722222226,69.17826388888889,419.5234375,9.574826388888887,564618,7.017395833333333,17.940086805555556,12.17982,21.0,0,39
2024-09-23,3,６号棟,26.0,17.0,24.088784722222226,69.17826388888889,419.5234375,9.574826388888887,564618,7.017395833333333,17.940086805555556,12.17982,22.0,0,39
2024-09-30,1,６号棟,34.0,14.0,24.619166666666665,81.50875,447.08229166666666,10.358680555555557,609374,4.926944444444445,20.95753472222222,11.50596,19.0,0,40
2024-09-30,2,６号棟,35.0,15.0,24.619166666666665,81.50875,447.08229166666666,10.358680555555557,609374,4.926944444444445,20.95753472222222,11.50596,25.0,0,40
2024-09-30,3,６号棟,35.0,14.0,24.619166666666665,81.50875,447.08229166666666,10.358680555555557,609374,4.926944444444445,20.95753472222222,11.50596,25.0,0,40
2024-10-07,1,６号棟,45.0,36.0,21.86145833333333,92.69723958333331,442.6286458333333,2.5546875,159337,1.48046875,20.60755208333333,2.82108,-15.0,0,41
2024-10-07,2,６号棟,50.0,41.0,21.86145833333333,92.69723958333331,442.6286458333333,2.5546875,159337,1.48046875,20.60755208333333,2.82108,-18.0,0,41
2024-10-07,3,６号棟,48.0,39.0,21.86145833333333,92.69723958333331,442.6286458333333,2.5546875,159337,1.48046875,20.60755208333333,2.82108,-17.0,0,41
2024-10-14,1,６号棟,55.0,45.0,22.13715277777778,68.72623263888889,435.2967013888889,11.523784722222222,676723,7.554930555555556,15.28685763888889,15.7413,-16.0,0,42
2024-10-14,2,６号棟,58.0,48.0,22.13715277777778,68.72623263888889,435.2967013888889,11.523784722222222,676723,7.554930555555556,15.28685763888889,15.7413,-18.0,0,42
2024-10-14,3,６号棟,57.0,47.0,22.13715277777778,68.72623263888889,435.2967013888889,11.523784722222222,676723,7.554930555555556,15.28685763888889,15.7413,-17.0,0,42
2024-10-18,1,６号棟,9.0,-14.0,23.661996527777777,78.66953125,442.2609375,7.089756944444445,420363,5.210833333333333,19.4953125,7.90134,9.0,4,42
2024-10-18,2,６号棟,9.0,-19.0,23.661996527777777,78.66953125,442.2609375,7.089756944444445,420363,5.210833333333333,19.4953125,7.90134,9.0,4,42
2024-10-18,3,６号棟,10.0,-17.0,23.661996527777777,78.66953125,442.2609375,7.089756944444445,420363,5.210833333333333,19.4953125,7.90134,10.0,4,42
2024-10-25,1,６号棟,14.0,-4.0,19.189479166666665,79.93956597222223,437.5005208333333,8.455208333333333,498840,3.7959895833333337,15.398784722222222,10.2339,37.0,4,43
2024-10-25,2,６号棟,14.0,-4.0,19.189479166666665,79.93956597222223,437.5005208333333,8.455208333333333,498840,3.7959895833333337,15.398784722222222,10.2339,36.0,4,43
2024-10-25,3,６号棟,15.0,-5.0,19.189479166666665,79.93956597222223,437.5005208333333,8.455208333333333,498840,3.7959895833333337,15.398784722222222,10.2339,30.0,4,43
2024-11-01,1,６号棟,19.0,-9.0,18.834409722222222,87.48524305555556,444.5414930555556,4.146354166666667,250559,2.3502083333333337,16.553194444444443,4.43976,23.0,4,44
2024-11-01,2,６号棟,19.0,-10.0,18.834409722222222,87.48524305555556,444.5414930555556,4.146354166666667,250559,2.3502083333333337,16.553194444444443,4.43976,26.0,4,44
2024-11-01,3,６号棟,20.0,-10.0,18.834409722222222,87.48524305555556,444.5414930555556,4.146354166666667,250559,2.3502083333333337,16.553194444444443,4.43976,25.0,4,44
2024-11-08,1,６号棟,24.0,-27.0,13.06328125,69.99800347222222,433.30815972222223,9.789756944444443,575376,3.9273784722222222,7.277204861111111,12.34614,15.0,4,45
2024-11-08,2,６号棟,25.0,-35.0,13.06328125,69.99800347222222,433.30815972222223,9.789756944444443,575376,3.9273784722222222,7.277204861111111,12.34614,15.0,4,45
2024-11-08,3,６号棟,24.0,-35.0,13.06328125,69.99800347222222,433.30815972222223,9.789756944444443,575376,3.9273784722222222,7.277204861111111,12.34614,18.0,4,45
2024-11-15,1,６号棟,30.0,-9.0,16.93548611111111,87.39331597222223,444.6225694444444,3.1991319444444444,195188,1.990138888888889,14.75454861111111,3.44172,-14.0,4,46
2024-11-15,2,６号棟,29.0,-11.0,16.93548611111111,87.39331597222223,444.6225694444444,3.1991319444444444,195188,1.990138888888889,14.75454861111111,3.44172,-13.0,4,46
2024-11-15,3,６号棟,30.0,-12.0,16.93548611111111,87.39331597222223,444.6225694444444,3.1991319444444444,195188,1.990138888888889,14.75454861111111,3.44172,-11.0,4,46
2024-11-22,1,６号棟,39.0,-7.0,11.828836805555556,82.80267361111112,436.0263888888889,4.231944444444444,254989,2.043263888888889,8.847170138888888,4.87086,-20.0,4,47
2024-11-22,2,６号棟,36.0,-13.0,11.828836805555556,82.80267361111112,436.0263888888889,4.231944444444444,254989,2.043263888888889,8.847170138888888,4.87086,-14.0,4,47
2024-11-22,3,６号棟,34.0,-15.0,11.828836805555556,82.80267361111112,436.0263888888889,4.231944444444444,254989,2.043263888888889,8.847170138888888,4.87086,-11.0,4,47
2024-11-29,1,６号棟,44.0,-11.0,10.422777777777778,77.13227430555555,426.9055555555556,5.0453125,300934,2.459704861111111,6.365069444444445,5.91474,-20.0,4,48
2024-11-29,2,６号棟,42.0,-16.0,10.422777777777778,77.13227430555555,426.9055555555556,5.0453125,300934,2.459704861111111,6.365069444444445,5.91474,-14.0,4,48
2024-11-29,3,６号棟,42.0,-15.0,10.422777777777778,77.13227430555555,426.9055555555556,5.0453125,300934,2.459704861111111,6.365069444444445,5.91474,-15.0,4,48
2024-12-06,1,６号棟,48.0,38.0,10.748784722222222,80.38121527777777,443.28211805555554,4.698263888888889,281063,2.151579861111111,7.303559027777778,5.43576,-21.0,4,49
2024-12-06,2,６号棟,47.0,37.0,10.748784722222222,80.38121527777777,443.28211805555554,4.698263888888889,281063,2.151579861111111,7.303559027777778,5.43576,-17.0,4,49
2024-12-06,3,６号棟,50.0,40.0,10.748784722222222,80.38121527777777,443.28211805555554,4.698263888888889,281063,2.151579861111111,7.303559027777778,5.43576,-18.0,4,49
2024-12-13,1,６号棟,51.0,41.0,10.156371527777775,83.25786458333333,440.4947916666667,5.174479166666667,308396,1.8328298611111111,7.279461805555555,5.70252,-22.0,4,50
